age,hours_study,practice_tests,passed
18,9.283295201740923,4,0
23,4.187169967230769,4,0
22,3.975514541856925,1,0
21,3.3724545435042446,3,0
21,6.2319588451509915,2,0
24,7.257944585441783,3,0
18,4.77210508469025,6,1
22,3.319687046074944,6,0
19,3.351037568617521,6,0
18,6.301185575649402,3,0
21,6.486508342406885,9,0
24,6.08630853661039,0,0
23,3.668980585422611,3,0
23,5.464322646133439,1,0
23,5.233371618281456,3,0
23,5.437377193458026,9,0
21,6.7428575558963795,3,0
18,5.447191097549364,9,1
23,6.35782712614379,4,1
21,5.135158138977783,6,1
21,5.578238797379968,4,0
20,6.262576451677081,2,0
19,2.085688360288667,7,0
24,4.360657567285397,9,0
23,4.059254691414409,2,0
22,3.722244303513316,7,0
20,4.449715497546633,2,0
23,7.989882622468792,7,1
21,3.2683377686135135,7,1
21,6.936556709182962,4,0
21,1.6342604567683905,7,0
19,4.330229940028451,2,0
18,5.3255061302100115,0,0
21,6.172444662718556,0,0
24,6.42245315958571,4,0
18,6.58669447039985,9,1
24,4.302549855503125,1,0
23,4.0752964146708655,4,0
19,6.715951762514308,7,0
22,4.61739135023677,2,0
19,2.4486273533241563,7,0
23,2.7334255719930387,3,0
22,3.161095427996777,8,1
20,5.994321488107528,5,0
18,5.28485147214113,5,1
24,6.3809707081355365,1,0
21,4.1454947073269315,4,0
24,5.317079382153429,8,1
22,6.251180787934674,0,0
23,4.381306920559523,7,0
23,5.913550475114823,4,0
19,3.6761481178666973,7,0
20,4.273892306869857,6,0
21,4.236524212003342,4,0
21,2.6083207088219207,3,0
18,5.9739449615711635,6,0
21,4.061195319594552,1,1
19,5.024988237455375,5,0
23,5.961493317811818,0,0
22,5.893062352059888,6,0
